restname,address,opening hours,contact,rating,conclusion 
Lee Hong Kee,"Tiong Bahru Market Stall #02-60, #02-70 30 Seng Poh Road, Singapore 168898","
Opening hours:
9:00AM to 9:00PM
Closed:
Thursdays",64382117,"4/5
3.5/5
3.5/5","This is probably the best Roasted Meat Stall in the new Tiong Bahru Market and was recommended by the forummers. I think the best item here is the Sio Bak. For those concerned about their fat intake and cholesterol levels, you would be pleased to see that the pork here is pretty lean. I was impressed by the super crispy skin. They tell me that the crispiness is due to their technique of scouring the pork skin before it is roasted in a charcoal oven. The taste of the meat was also very good, leaving a Pang (savoury) smell which you can savour after you swallow the meat.

Their Char Siew was not sweet enough for me, but the meat was nice and tender, so readers who like a less sweet Char Siew might appreciate this.
. Not a big fan of the Roast Duck which was not even served with plum sauce. The flesh was tender but the taste was not exceptional.

Certainly worth a try if you are at Tiong Bahru Market and have a craving for Roast Meats."
Jian Bo Shui Kueh,"Tiong Bahru Market #02-05, Singapore","
Opening hours:
6:30AM to 11:00PM",90223037,,"This is the first of a six part series on the newly refurbished Tiong Bahru Market. Somehow the name Tiong Bahru is synonymous with yummy hawker fare. Last time, everybody wants to tag Tiong Bahru in front of their stall name when they moved out of Tiong Bahru (eg Tiong Bahru Pao). Now everybody in this Food Centre wants to tag Tiong Bahru in front of their stall names to show people that they have moved back to the new Tiong Bahru Food Centre. (It’s come full circle) The other thing you notice is that nobody bothers to tag other old food centres like “Bugis” or “Whampoa” in front of their names. It’s like Bugis cannot fight with the power of Tiong Bahru. Know what I mean? Indeed the old Tiong Bahru Market was famous for all the great eats and this Chwee Kueh was one of them.
Chwee Kueh is a very simple dish. Get some rice flour, mix with water and steam it. Then eat it with fried Chye Poh and chilli. So what’s the big deal and how come this stall has been selling just Chwee Kueh and nothing else for the last 50 years? I really like the texture of this Chwee Kueh. It is soft to the bite and you can basically eat it after you remove both upper and lower dentures. (No I don’t wear dentures) The texture sets it apart from all the other Chwee Kuehs I have eaten. I found out why. They still mill their own rice to make the flour that makes the Chwee Kueh! The second thing is that tasty fried chye poh. If you look closely, you will also notice the generous use of sesame seeds. Very pang (savoury) indeed!
One of the few original stalls from the old Tiong Bahru Market. If you like Chwee Kueh, you need to try this.
"
Shanghai Zhu Cheong Fun,"Blk 335 Smith Street #02-174 Chinatown Food Centre, Singapore","
Opening hours:
6:00AM to 8:30PM",81957396,4/5,
Guan Hin Restaurant,"34 Bendemeer Road, Whampoa West, Singapore","
Opening hours:
(Not available)",62983179/62933274,"4/5
3/5
4.5/5
4/5
3.5/5
4/5
4/5

3/5
4/5
","(T3+V2+S2+E1) If you really like fresh tasting food without lots of deep frying and flavourings, you might rate this restaurant higher."
Joo Heng Restaurant,"360, Joo Chiat Road, Singapore 427605","
Opening hours:
Lunch: 11:00AM to 2:00PM
Dinner: 5:00PM to 10:00PM
Closed:
Mondays",63451503,"4/5
4.5/5
4/5
4.5/5
3.75
9/10","(T4+V2.5+S1.5+E1) This is one of the Grand MakanGuru’s (eslim) favourite places to eat. Need I say more?
"
Kampong Rojak,"East Coast Lagoon Food Village, Singapore 449876","
Opening hours:
(Not available)",,4.5/5,PS: The laksa here is quite shiok too.
Haron 30 Satay,"Stall No 55 Lagoon Food Village, Singapore 449876","
Opening hours:
Weekdays: 3:00PM to 11:00PM
Weekends: 12:00PM to 11:00PM",64410495,,"Not the “die die must try” satay like
, but certainly if you are at East Coast Lagoon Food Village, you can’t go wrong with this stall. $0.40 per stick"
Sri Vijaya Restaurant,"229 Selegie Road, Singapore 188344","
Opening hours:
10:00AM to 10:00PM",63361748,"4.5/5
3.5/5
4.5/5",
Kim Choo's Kitchen,"109/111 East Coast Road (Opp Katong Mall), Singapore","
Opening hours:
(Not available)",67412125,"4/5
3.5/5
3/5
4/5
3/5
3.5/5
3/5
4/5
7/10",
,"Margaret Drive FC, #01-558, Singapore","
Opening hours:
Tue to Sat: 12:00PM to 10:00PM
Sunday: 9:00AM to 8:00PM
Closed:
Mondays",96806008,4.5/5,"Thanks to them, we can still keep our childhood memories alive… at least for the next few years."
Meng Kee Satay Bee Hoon,"Stall 17 East Coast Lagoon Food Village, Singapore 449876","
Opening hours:
6:00PM to 11:30PM
Closed:
Tuesdays",,,"Unfortunately, the stall has changed hands as one of the brothers fell and injured himself and the other one has been diagnosed with cancer."
Han’s Bak Kut Teh,"Store 42, East Coast Lagoon Food Village (ECP side), Singapore 449876","
Opening hours:
(Not available)",,"Please read the disclaimer before reading this blog!
3.5/5",
Cheok Kee Duck Rice,"Laguna Food Village Stall 29 (Carpark side away from the beach), Singapore 449876","
Opening hours:
11:00AM to 10:00PM",64454222,4/5,"
A good duck rice must have a good Lor (Gravy). As my mom would say “lose-win” is the Lor. Most of the time when I eat duck rice, I don’t actually go for the duck meat as I would with chicken when I eat chicken rice. I usually go for the Tau Pok (Fried Bean Curd) and the Lor with the rice. And if they have braised peanuts, it’s a bonus.
East Coast Lagoon Food Village seems hardly the place one would go for Braised Duck. To me the beach means Satay, Rojak, Hokkien Mee and Roti John. Braised Duck seems too melancholic for the beach. But hey, here was the store and there was a picture of Kim Ng and Fiona Xie eating the duck rice. Who am I to argue with the wonder twins?
The Lor is very good and overall, I like it. Its the thick and sticky type which is a little sweet and the herbs are not overpowering. Actually, I have to admit I am not a duck rice fanatic, so this one is as good a duck rice as I ever ate. However, I don’t think you’d drive all the way from Jurong to eat this, especially since they have branches elsewhere.

A good duck rice, but as I already alluded to, when you come to East Coast at night, you just want to eat something that is grilled over charcoal or put on a banana leaf. Know what I mean?
"
Lagoon Chicken Curry Puff,"East Coast Lagoon Food Village, Singapore 449876","
Opening hours:
2:30PM to 11:00PM",,4/5,"Each curry puff is still handmade in the stall and filled with yummy memories. Unlike Old Chang Kee, where you get really Jia Lard (Feeling of having too much fat) after eating the curry puff, this one is amazingly light. From now on, I am buying a few everytime I come to East Coast Lagoon Food Village."
River South (Hoe Nam) Prawn Noodles,"31 Tai Thong Crescent (Facing Jackson Centre), Singapore 347859","
Opening hours:
6:30AM to 4:30PM
Closed:
Once a month on Mondays",62819293,,"This Prawn Noodle was recommended to me by the “Grand MakanGuru”* eslim himself. So I feel safe to rave about this one! My benchmark for Prawn Mee so far has been Beach Road Prawn Mee at East Coast. Now there are two places sharing the same honour.

Hoe Nam has been in business a long long time. There is a good reason why. Their prawn noodle soup is very very tasty. They don’t have any gimmicks. You don’t find giant king prawns here. You just get your traditional Prawn Mee with options for Pork Ribs, Pig Tail and Abalone (Ok maybe the Abalone is not so traditional – I don’t know so please share if you do know) And best of all, the prices are not exorbitant. They start at $3 per bowl with quite a generous serving of medium sized, really nice and crunchy prawns. (I believe they use Thai Prawns which are fed better quality feed – also more expensive)
Why is the soup so good? The stallowners say it is because they sell so many bowls of prawn noodles a day, that they have to boil more prawns in the stock. More prawns, more taste. It’s that simple. Aside from prawns, the other main ingredient in the soup are the pork bones. The soup is simmered for over 24 hours to extract all the taste from the prawn and pork bones. Other ingredients? Bit of soy sauce and secret spice mix (I guess it will remain a secret).


Great Prawn Noodle! Especially like the soup. Been back many times since!"
Leng Heng BBQ Seafood & Claypot Deluxe,"East Coast Lagoon Village Stall No. 6 (Near the beach), Singapore 449876","
Opening hours:
3:30PM to 11:00PM
Closed:
Thursdays",64450513 Lao Ma,"4.25/5
4.5/5","


"
Iggy's Pte Ltd,"581 Orchard Rd, Singapore 238883","
Opening hours:
Mon to Fri: 12:00PM to 1:30PM
Mon to Sat: 7:00PM to 9:30PM
Closed:
Sundays",6732 2234,9/10,"(T4+V2+S2+E1) Some may disagree with me on the Value component because you can argue that we really got our money’s worth. Then again, a place like Iggy’s does not and should not position itself as value for money. Then you would attract the wrong crowd and spoil the whole dining experience. I will give you one simple example. I ordered a cup of tea to accompany my dessert and that cost me $8 +++. It wasn’t in a teapot or anything, just a plain cup with freshly brewed tea in it. If this whole meal had cost $100 per head including tea and coffee, THAT would have been value for money."
Frog Porridge,"Stall no. 24, Jackson Centre, Singapore","
Opening hours:
(Not available)",96879303,3.5/5,Jackson Centre has been closed. If anyone has got updates on where the stalls have moved to please write in and let us know!
Hill Street Fried Kway Teow,"Blk 16, Bedok South Road, #01-187, Singapore 460016","
Opening hours:
Lunch: 10:00AM to 4:00PM
Dinner: 4:00PM to 6:00PM
Closed:
Mondays",,4.75/5,"No wonder he is the Hawker Legend. Is this as good as Char Kway Teow gets? So far, for me at least, it sure is."
Chong Cheng Chilli Mee,"#01-59 Golden Mile Food Centre, Singapore 199583","
Opening hours:
8:00AM to 8:30PM
Closed:
Tuesdays",92761203 (Chris Yeo),4/5,"If you love chilli and/or are a self professed foodie, then do yourself a favour and go try this. I like it, but probably not as much as those with leather tongues."
Bugis (Long House) Lim Kee Beef Noodle,"505 Beach Road #B1-121, Golden Mile Food Centre, Singapore 199583","
Opening hours:
11:00AM to 9:00PM",9069 4916,,"If you’ve never been passionate about Beef Noodles, now is the time to see the light Brother/Sister! Better than the famous, Hock Lam Beef Noodles at Purvis street."
Hainanese Curry Chicken Rice and Curry Chicken Noodles,"Golden Mile Food Centre #B1-53, Singapore 199583","
Opening hours:
(Not available)",,4.5/5,"Not just I say, everyone also say, not Shiok, VERY Shiok. If you never had this before, you must come and try."
Golden Mile Special Yong Tau Foo,"B1-44 Golden Mile Food Centre, Singapore 199583","
Opening hours:
11:00AM to 2:30PM
Closed:
Sundays",6298 5908,4/5,"
Got there at almost 3pm and they have sold out most of their items. Aiya! Only able to taste the soup, a few fish balls and Tau Kee (Crispy Bean Sheets). I am not a big Yong Tau Foo man, so I’ve got to rely on ieatMaMa who loves the stuff to give her opinion.
If you want to eat great food, you have to look for hawkers who are passionate and proud of their heritage and cooking. There are a few types of hawkers nowadays. You have those in the food courts who are hired by a boss to run a stall, they won’t know nuts about the food. Then, you have hawker traders who merely buy stuff to sell, like most Tau Hway (Bean Curd) and Ngo Hiang (Prawn Fritters) stalls. Most of the highest rated hawkers are of the third category. They insist on having the best ingredients and most of the time, this means that they have to prepare most of the food from scratch.
So here’s the secret of this shop’s success. They make their own fish paste and insist on using the traditional Hang Zse Her (Yellow Tail) fish. The fish paste is then used to fill the Capsicums, Brinjal, Tau Pok, Okra etc. The water that the fish paste is soaked in is used to make the soup! Mmmmm, no wonder the soup is so nice. And the fish balls are exceptional! They are not overly bouncy, but have that authentic bite and tastes like unadulterated fish meat, which is what it really is.

Have to come one day to try the full menu! They have over 10 items that they make themselves, and it should not only be really tasty, but quite healthy too!
(Real Yong Tau Foo enthusiasts may rate it higher)"
91 Fried Kway Teow,"505 Beach Road, Golden Mile Food Centre, #01-91, Singapore 199583","
Opening hours:
11:00AM to 9:00PM
Closed:
Mondays",98300965,3/5,"If you really crave for Char Kway Teow, but your doctor, wife, mother and children keep reminding you of your cholesterol problem, your impending heart attack and the open heart surgery scheduled for next week, then this is the place for you. Plenty of greens and no cholesterol (if you leave out the egg and ikan bilis). I’d rather choose not to eat Char Kway Teow at all if I were in that state."
Haji Kadir & M Baharudeen,"Stall B1-15, Golden Mile Food Centre, Singapore 199583","
Opening hours:
12:30PM to 1:30AM
Closed:
Alternate Wednesdays",,"red
3.5/5","How not to try something that is both a Makansutra Legend as well as a place where
was taken to when he was in Singapore? It’s my first time trying Sup Tulang (Mutton Bone Marrow Soup). Oh, I have heard of it before, but somehow the thought of sucking out bone marrow did not quite thrill me. I mean, the only time I hear about bone marrow is when a diagnosis of Leukaemia is suspected and a Bone Marrow Trephine (A large bore needle is introduced into the hip bone and the marrow sucked out for investigation) is performed to confirm the diagnosis. Not a very savoury picture. Now, my friends who are Gastro-Intestinal Surgeons would always long for a nice bowl of Kway Chap (Pork Innards) after performing surgery, but I have never heard of Haematologists craving for Sup Tulang after performing Bone Marrow Trephine. I must say I did not think much of it. The taste was a bit like Soup Kambing (Mutton Soup) but a bit sweeter and thicker and it was really
in color such that you get all your fingers stained while eating it. I agree with Bourdain that the plastic fork they provided was absolutely useless (I mean these guys eat with their hands, the fork is probably only a nice gesture for us other folks who use utensils) Well, what’s there to say? Been there, done that and still left wondering what the fuss was all about! Maybe it was fasting month and the cook did not manage to taste the food or maybe its just that I did not like to perform a Bone Marrow Trephine with my mouth. Don’t know.

Maybe one of these days I would learn to like this stuff. Until then I give it
. But since it is both a Legend and something
ate, you might just want to try it yourself, if only to prove me wrong."
